color,RPM,stroke_frequency,producer_name
407,352,1914,1625
1838,1576,207,1210
1812,1343,1301,851
503,453,624,694
1728,1473,744,561
777,412,912,37
1725,1268,1123,1929
1679,699,144,349
1490,141,841,1463
50,456,605,1210
1541,590,399,803
1079,1659,1723,1841
943,291,563,1732
479,883,1350,1560
10,1276,1309,1203
1757,1482,114,29
1551,956,1791,1443
905,743,1682,291
1235,1251,1792,1229
1491,205,1388,1183
1997,1741,1144,1686
202,1774,1699,895
31,1551,726,1074
1707,1837,1623,1009
1843,1705,964,230
1458,1834,1820,1210
859,146,1145,1409
982,426,1068,310
1812,1978,1882,928
1109,1186,1290,715
114,1482,119,185
1705,998,1493,637
488,1312,970,345
262,819,1953,534
853,1372,1819,200
543,928,175,1663
73,1851,471,735
300,598,255,1657
709,1450,450,621
668,1638,250,1660
633,232,325,777
563,616,243,114
1961,869,692,483
1504,1136,1239,757
128,1329,1120,1856
414,431,382,1150
1621,859,1077,1605
387,95,1545,1025
846,909,499,686
1837,814,548,855
1933,1339,1116,1472
1835,360,465,707
120,240,1497,234
1098,1972,104,1625
345,1127,933,850
1727,1067,1013,803
1597,1342,1987,869
911,1150,1113,1423
1872,1148,1084,549
139,1480,1691,517
1422,1560,1029,1107
1630,440,1562,1319
1473,666,1224,1084
595,5,1217,908
639,1362,531,1638
1479,1306,1776,363
81,566,589,1872
77,853,956,1649
542,142,1412,741
461,593,682,1444
627,968,1076,492
1544,1584,83,54
1703,1319,1580,890
1480,34,1337,1238
1084,827,1715,447
1948,433,271,1184
602,932,1022,1018
982,1743,1642,1352
1108,703,56,1018
1778,789,1125,1438
1720,804,801,1705
1247,1840,1137,602
954,342,1951,1069
1635,1239,1654,366
1836,1159,81,671
505,308,1942,197
251,1272,1312,476
1942,214,1473,1115
1666,1254,1365,905
846,1472,950,1778
1749,550,881,80
1395,953,1205,1763
563,887,1895,861
65,1438,1440,1455
327,181,1250,1870
1308,1913,1199,1711
479,864,1701,553
1211,1001,134,402
239,1840,422,319
387,1385,1488,204
1103,1668,1772,851
1847,1865,989,867
800,1233,520,1688
7,968,646,958
545,471,473,1957
1626,927,171,1510
1247,391,142,1550
980,1405,1644,1166
229,806,1560,1510
191,1635,1535,766
108,76,1906,1182
1499,1805,458,1208
1865,706,268,1379
565,1192,1832,965
879,701,1455,1607
596,405,822,787
1965,886,624,1780
233,1589,887,1233
956,615,1748,465
708,1799,485,1181
198,301,754,1041
123,417,483,465
1546,1559,453,1633
244,96,1447,1858
1239,1125,59,330
155,1621,194,18
1069,264,1897,1946
1840,1225,1173,516
1687,1304,1670,831
963,786,224,426
1772,1394,883,443
1228,729,1831,6
1582,849,1342,548
772,1922,1242,712
46,380,427,1674
1499,1610,582,1158
394,41,930,256
2,662,189,496
1257,745,663,339
17,1678,1329,250
659,299,1699,1629
84,503,584,1972
179,1661,1006,313
1404,1627,1285,19
218,1641,1172,1747
703,948,573,414
1926,72,1685,1707
1651,39,838,586
206,1038,677,1542
1716,1517,465,1849
418,1030,463,255
121,1330,680,122
729,139,131,1774
1764,1613,454,269
1763,389,1860,512
1185,16,88,1801
854,1519,1361,701
1628,946,937,1851
861,1808,186,1902
9,1937,441,1993
238,162,325,929
1165,503,700,1156
1989,1888,1133,324
1763,515,4,1396
740,1024,488,1368
1626,1507,1180,355
1034,567,576,1307
828,1817,1318,880
194,149,1726,272
1174,1531,745,1502
1950,201,258,34
690,762,75,19
1573,1272,341,909
1476,332,485,800
1083,822,128,143
1904,1880,827,669
1713,780,1975,525
1333,1673,516,102
999,1705,1622,1810
566,1399,1867,861
1338,1505,966,668
1165,1420,894,1520
1688,1164,1007,1936
1946,813,890,462
606,1872,972,533
998,297,1965,1843
401,1078,1856,983
160,1826,869,563
1372,1482,1136,1812
1353,468,209,428
1792,1262,611,1581
1296,1685,1621,1190
1888,1972,471,195
1652,1440,1070,84
1953,501,1741,1842
598,1604,596,1368
1068,61,1443,308
1670,365,348,1691
678,552,1654,7
1303,1891,622,555
1684,1531,236,902
1615,1989,1880,21
1299,1307,1924,826
1991,1535,646,1667
163,990,545,1867
682,1537,209,667
578,20,1245,400
825,699,599,1159
875,996,1467,714
710,1844,1777,1444
64,150,612,1876
920,1529,38,424
319,741,244,647
106,897,288,407
1780,512,1546,1140
398,1504,314,97
1274,550,1664,1496
931,334,714,1820
240,1641,1598,1520
448,1786,764,442
1249,1871,433,1639
158,712,169,222
1346,1787,383,998
803,1257,1905,1161
1834,940,383,87
259,1394,1777,1587
919,1472,888,1324
1465,148,244,412
562,1279,1351,1941
318,107,1676,1949
1954,776,1245,716
183,517,1435,633
1056,1544,689,1446
1991,356,1779,1985
1291,309,48,1396
1669,239,346,1332
232,767,1886,1985
618,36,1102,801
385,1275,16,522
286,267,1733,1979
1627,275,1568,977
1365,100,278,1543
60,69,751,1339
1086,1283,1185,1875
831,1581,1253,1852
1604,1572,1788,1390
823,1155,1300,451
894,1722,1304,1529
1500,1961,1935,1559
1377,983,1424,986
456,708,1171,593
1304,1288,1890,372
1797,252,1599,1551
718,162,1990,105
802,241,1086,491
97,1911,722,553
97,946,1352,1395
1285,304,34,533
1771,1707,792,1475
1048,1755,1205,1359
52,1196,648,1831
1566,1128,1794,766
954,455,868,1212
1716,877,1438,531
1686,717,1333,1057
1684,655,1886,1268
642,782,784,1249
1814,1636,1038,249
1035,139,1559,124
183,1433,909,1894
153,1678,402,1758
735,942,398,1552
1230,489,1507,590
1795,1910,1829,716
1439,1856,932,1636
1247,1380,1081,1012
1117,59,91,1889
1901,821,892,1776
212,1873,1896,652
922,1064,225,299
1937,1200,968,789
1143,968,607,1718
1001,1075,490,1589
888,30,492,155
1167,974,505,329
1636,1976,1693,890
782,1923,980,1879
1906,153,795,1388
209,1989,1062,1904
1178,670,935,983
1607,1408,1973,631
1399,1462,617,1231
1395,842,1060,1285
1427,512,1101,531
1844,54,717,418
680,980,1595,578
744,1682,144,1160
1138,978,114,1180
878,952,494,1465
1944,879,1422,667
680,1975,1325,1278
1864,1438,628,1630
907,645,1815,95
430,1953,337,1705
961,83,280,1348
511,99,1091,829
1613,1227,745,1200
927,1913,1310,787
1351,428,1025,1236
1913,1373,266,580
1791,843,1566,615
857,1749,1317,1465
1143,803,324,273
1440,683,840,1439
1101,271,441,1603
1371,824,1763,1051
1936,281,615,962
931,513,420,235
1577,1203,371,1724
648,439,140,270
612,1067,1408,1495
992,1045,794,1703
1374,1077,1561,186
983,620,1937,904
1480,638,549,1703
1043,720,1103,621
4,1138,285,501
1352,263,1736,860
1460,736,403,1210
913,942,594,1095
1465,1302,1923,146
709,1195,1343,1326
1729,579,1661,797
27,1094,603,1042
976,428,1224,127
145,1677,532,535
1649,567,1290,1231
533,968,567,1178
1206,1326,1689,7
264,1510,570,965
185,325,1241,887
1072,1498,402,970
512,531,1926,704
883,27,1055,1599
1946,1488,1480,1463
1164,782,1003,856
59,592,997,1727
123,1832,1616,1814
363,1891,1167,1144
1667,0,129,1727
1962,581,439,419
1675,1240,1598,386
1455,325,1375,1425
955,1665,78,1539
637,354,227,325
1668,1713,1485,602
1426,125,309,1759
1553,214,1243,488
864,1955,1944,1834
1234,623,1614,1076
1711,1472,1652,118
1596,361,1754,905
10,1546,209,410
1846,1440,418,570
989,1859,1799,138
128,339,382,248
377,1730,1245,694
631,788,1981,1929
469,713,628,740
407,1125,859,482
116,1188,1434,1354
1401,608,1617,234
1660,1652,239,1414
1251,545,476,1371
565,69,761,1568
997,1325,1051,1976
1206,1274,1515,1696
1518,668,1514,1383
984,632,657,15
113,274,433,542
1138,551,1697,1019
235,682,213,1791
288,623,1724,430
92,230,723,1145
563,993,1451,1372
64,1698,1982,1077
659,398,1937,1772
353,973,1003,1059
1520,1263,1598,1970
1906,1432,1047,1164
881,1505,415,685
779,459,1758,1628
1407,1819,496,1190
1901,1293,1023,1719
1795,1262,1182,1890
979,1956,1487,354
592,1887,1245,1336
1950,1343,1617,244
1463,1318,1680,641
1580,1891,1956,1595
950,357,1557,1988
97,1252,1533,194
1210,388,1224,1138
913,1438,1680,788
953,1292,564,462
1627,1377,1930,614
823,563,21,358
816,21,848,930
689,327,1386,1469
1085,1961,1354,702
866,140,1927,268
1498,1236,1910,751
430,1823,788,1429
1596,1568,1210,1305
603,682,1214,1876
295,12,1391,998
693,1396,983,1550
404,1240,514,133
738,1001,1730,1246
408,1895,401,154
1720,1519,660,818
875,1699,584,1352
1233,989,837,309
829,1904,85,1887
558,252,13,375
105,1953,1791,942
1610,576,1920,361
835,1306,1186,753
1510,921,698,1607
1350,327,863,1813
762,166,1967,1027
796,602,589,122
69,1014,183,1127
1213,1862,215,1250
404,423,1399,1759
1949,1425,1275,1947
1214,1870,518,510
892,973,1036,472
1929,1530,241,1203
1882,1557,544,519
1548,208,64,1351
1777,790,716,1419
890,4,783,1789
1847,24,1041,1781
6,244,1773,5
944,1468,1054,1267
191,1968,827,1156
1862,1477,1713,1920
535,1415,369,1628
57,1742,1400,1522
723,1540,867,1413
281,1637,1740,57
687,764,1325,1816
1523,1192,1991,1786
1799,179,571,1764
521,1582,1494,715
944,1445,1398,546
474,1,544,1764
902,1537,1428,1535
1787,8,1262,566
1218,1471,1319,636
1629,691,1532,318
1897,85,1508,404
841,1844,1916,365
1359,62,1358,1400
1535,1220,1294,283
103,1599,1750,291
1716,1783,301,1771
1975,455,1180,485
985,338,1552,224
1037,1584,1894,844
1499,1316,1549,1679
1887,1590,1716,426
50,794,280,478
655,1400,802,38
71,1988,702,1422
57,453,154,1503
748,838,1337,392
188,1,355,1553
93,596,678,703
546,763,1865,261
549,1385,1677,577
1718,1559,268,818
1483,90,19,452
1508,437,1978,1865
249,1783,82,1948
928,159,1001,322
1988,1395,109,450
454,374,1307,85
613,426,1889,1829
199,1836,1528,1887
1225,1818,1933,657
871,209,1309,1362
1244,1049,1027,865
986,1928,1628,421
1821,1642,626,1349
1005,867,663,1593
302,929,784,875
73,778,1394,271
1330,664,1693,186
524,1999,1729,1614
445,281,1444,956
1346,95,1274,872
1100,537,1188,1162
1537,1361,571,382
481,1058,12,53
15,1358,1144,99
1659,972,1032,1987
768,958,682,802
1452,1059,195,72
305,829,1799,956
540,498,1165,1590
1962,250,48,1793
1235,1421,1331,508
1851,1841,230,1775
1419,1752,1745,406
893,61,1384,473
1055,1390,7,511
326,869,255,814
664,873,142,123
1759,1852,1978,1163
1931,568,1528,1578
1778,433,1540,457
1270,829,1299,312
1825,1900,270,1130
844,362,1180,1420
1957,1699,643,1495
674,1731,610,72
890,9,644,1049
349,501,1003,1814
528,1917,1065,517
1433,583,936,107
1803,208,121,16
560,843,223,441
1389,172,1967,820
844,846,1419,1645
364,1155,1608,994
1243,133,1388,27
1854,361,319,722
1355,575,276,816
950,1737,1194,1697
562,1676,993,1298
24,214,1408,71
984,1456,1041,911
343,768,1908,1454
1607,1511,264,870
728,1103,833,307
21,1706,664,1188
600,80,1145,1867
1001,1206,1562,1321
524,1867,815,1879
418,1595,1317,785
1254,1654,1128,992
1680,235,192,1119
459,1061,1503,1049
1370,957,1261,1649
940,1840,1931,1108
1409,1458,1062,1613
307,1884,862,1866
1573,619,1171,1778
1028,1892,188,806
1383,1135,1887,1021
199,26,153,1510
1964,619,1721,290
61,1222,175,438
313,170,939,130
1490,1480,347,1542
1891,133,1645,1647
1639,1186,1290,1105
1793,727,1304,1122
1797,958,1622,1730
1452,604,345,608
1367,851,924,1046
475,420,598,1961
80,611,40,1756
1826,929,751,1406
550,45,969,571
248,586,55,1108
485,1231,423,507
301,439,1595,1419
948,1849,1810,1357
1844,353,1296,1412
1145,299,907,1830
787,124,138,1606
118,214,682,1278
1629,494,91,406
338,1447,632,1381
1465,756,634,1109
1145,1174,140,615
395,240,4,663
1553,423,959,1648
432,1500,411,57
1865,435,726,1646
678,432,1132,1637
782,375,136,834
1201,838,414,141
903,1039,1220,1519
602,1741,915,1760
180,1579,436,737
1624,1256,1418,1473
285,1946,427,226
1944,1047,1071,1016
1127,1391,1751,32
255,870,1872,1864
935,1622,1646,1751
1635,1051,753,1434
1647,1446,1295,1058
1554,1837,593,1543
948,435,1586,1544
964,685,1387,800
395,112,346,862
1019,1259,1779,635
1174,155,1611,1644
675,260,900,1941
1722,1400,0,43
1084,1631,579,924
749,253,1197,278
599,532,1844,1039
1919,806,278,644
269,454,31,1192
1874,1458,925,827
787,835,543,1645
110,1488,1196,206
1589,1400,224,720
1786,1184,1715,507
953,1647,1424,977
1834,955,391,1622
1657,868,49,877
1346,1916,1642,1916
1542,227,239,1017
831,806,448,523
1429,1798,293,958
839,454,39,1932
248,1548,1605,77
680,87,1574,449
919,241,1098,1325
1006,201,1969,1489
1708,1577,1178,1684
847,204,456,1657
1424,1205,1163,842
13,184,665,170
252,561,1928,95
12,211,1629,825
1731,332,125,883
974,509,1780,515
1220,1582,1462,1746
272,1505,940,616
1547,1682,1087,335
1996,152,400,94
88,754,877,522
600,748,1849,1381
1845,1132,753,624
697,1058,1058,177
929,1952,1459,1060
1126,439,247,1545
1203,542,1428,158
1331,1008,1044,1009
1512,60,792,1407
1057,1739,455,1540
1974,208,1937,776
603,812,1916,1649
1033,1798,1957,1495
82,1792,144,1586
1541,1421,440,300
1019,1521,79,88
1514,329,1606,46
1761,1025,1264,47
640,962,1206,533
489,967,982,320
658,1952,186,1284
1094,637,437,66
983,739,1951,131
936,1289,1940,1637
1571,439,83,943
804,1631,50,186
1469,921,1835,1250
119,271,187,1902
1983,1446,1421,256
107,1229,1529,374
157,644,637,815
722,724,1880,1539
1716,1449,784,0
687,666,516,825
471,1189,893,1384
1043,418,1946,619
1718,903,1735,402
1979,1366,275,706
1641,818,1207,248
1713,1323,1203,1932
770,1344,1761,1053
274,1884,385,853
1156,1943,1358,252
1569,811,952,1036
1899,254,564,800
502,1387,526,1034
1315,57,1727,1352
1941,1088,1593,658
530,1473,1376,1617
1910,976,1742,1882
1165,814,885,1294
1783,451,172,368
1561,1262,1581,1096
226,287,1181,1095
1118,623,1316,682
482,1606,372,1173
1172,93,271,1827
385,30,1532,1589
545,25,276,435
1535,1005,1323,1344
513,1,992,991
1036,367,1584,1787
1848,846,1814,1208
1805,698,922,469
1181,1289,1583,0
1437,1086,360,1744
80,1053,1875,1672
54,1768,1966,776
1963,66,1222,1349
29,1700,235,1294
1567,1348,1345,748
1992,175,1513,1552
1572,1309,1873,1120
1979,524,369,956
1875,92,1991,279
1462,1754,827,1539
949,408,172,1248
1064,49,1890,339
806,203,435,1721
818,573,1640,1554
435,1481,240,988
1276,737,1069,882
266,1908,1116,1022
1273,721,1973,25
1919,1820,561,1527
942,355,1117,1785
1121,649,1060,187
1460,1765,1341,74
897,1208,1220,1133
1203,1001,517,134
1359,1643,1372,722
1794,601,90,794
1971,1758,1886,1100
1490,274,1775,1078
161,696,1481,488
1220,1720,612,1898
647,1563,1522,516
596,835,1756,1574
916,729,380,1065
1414,1118,1072,821
1222,303,1619,488
261,1801,1951,1661
1934,1999,808,343
760,756,511,782
1147,308,1434,1163
276,1731,244,1627
622,642,484,1785
1324,434,1658,1434
1312,1584,1421,93
1270,82,231,1836
1281,420,269,1233
1630,1226,87,1556
1034,1597,1583,1315
501,559,1574,1364
1551,547,373,1311
1317,938,522,1959
1492,1132,1842,1234
1466,1597,1061,1578
1623,821,1201,308
992,331,1503,12
154,1438,1788,411
1810,1615,471,669
1716,1688,1204,808
515,1307,1238,1966
1506,705,978,574
126,1831,860,1501
139,1025,836,1471
192,346,1936,644
1262,1391,1104,896
174,1508,804,194
48,358,1635,662
1999,1012,1905,1438
1347,1363,519,1995
1816,742,821,1861
1189,896,1544,317
1508,1240,240,426
763,1119,502,499
251,299,894,1318
1429,1434,1277,1528
1184,1027,436,1309
1878,716,561,618
422,1953,1065,545
771,1077,1122,742
1397,935,1182,1172
192,173,416,954
1206,1309,1246,1271
451,1720,582,1086
680,1858,205,847
308,1785,661,297
1551,429,313,483
1637,1490,530,1300
1786,936,402,1912
1051,1017,273,419
794,1621,1055,602
915,628,616,982
1804,907,528,1002
1905,1524,1455,1314
833,1900,1334,1603
1264,303,1030,681
205,1882,1857,442
562,916,1151,1451
484,1339,356,1157
703,676,656,1656
42,1128,629,137
944,1895,1318,346
1426,553,1376,1091
1459,262,1792,362
711,595,1200,1823
1402,1493,1786,924
1782,1168,777,1468
107,1018,235,718
943,1385,1055,1297
872,1354,1311,386
1587,1269,1504,1700
687,1924,1335,943
844,577,1330,1347
1810,1529,612,355
63,1180,1657,1550
1376,1642,1007,1433
1644,57,644,1483
1784,1279,481,857
1370,116,1963,1438
424,1834,1217,673
1680,798,194,1253
1354,677,1554,1322
1973,1452,1340,1691
1271,486,110,580
1523,1008,172,1740
893,444,1015,374
1172,1959,595,1614
1829,724,293,1135
969,369,1087,1626
450,1908,1543,1533
1264,1617,905,1691
19,698,1314,1853
324,347,313,493
1858,918,1258,1313
28,432,1100,677
142,639,1494,1433
1609,338,743,1777
848,418,1276,325
1251,614,177,1759
101,1511,1337,76
414,643,1601,808
1652,178,311,183
81,144,1956,1385
1177,1297,1298,1436
755,881,1856,1033
1664,1011,1512,1614
1726,1132,248,233
1879,827,882,1406
1290,488,1859,869
1558,1667,1775,1085
1234,1498,120,1810
359,491,579,485
704,575,1139,641
1000,997,1377,210
286,1720,1929,557
1508,525,91,1082
1384,225,1393,999
174,1090,850,1621
14,627,920,1929
1461,454,1325,1706
65,170,52,205
656,1304,283,365
1388,1558,676,225
1202,1078,1125,1792
673,509,335,307
612,588,1117,868
1604,1852,954,1130
1173,932,93,1716
1968,568,1324,1636
535,657,1223,166
1207,1089,1294,1997
1306,713,1542,1787
54,106,1969,886
932,985,1447,1534
959,754,62,72
1976,441,769,200
344,1570,1184,1343
1951,927,1649,692
1156,1435,670,1602
385,1719,1849,883
1906,778,1238,153
1271,1263,1920,1513
446,1845,1185,88
374,119,511,889
221,454,1069,364
471,1998,1406,1898
525,967,1138,267
1753,1123,1662,792
1822,546,1191,1628
1535,270,881,952
322,588,152,1569
252,1733,1679,1352
1766,758,1579,1661
1098,654,13,324
1863,990,789,1667
1688,189,726,513
187,1175,1188,906
771,1112,1528,1541
920,439,1309,186
808,1664,582,321
1800,373,1767,1791
625,420,1523,1118
44,999,395,1249
226,1528,1212,1772
134,1291,1687,1503
1029,983,1803,1998
1900,1141,301,1617
657,1088,30,1001
1646,1568,112,552
1049,849,548,783
1070,1446,1514,1272
1273,1179,682,343
1926,877,278,1071
411,97,1625,336
1370,1859,206,1621
670,1887,1801,849
79,1834,2,1958
1171,1363,1255,1216
993,1202,1687,405
1362,1760,638,995
1490,131,281,1024
695,1722,979,1493
419,1667,602,1833
1787,1875,1218,307
1906,1075,1816,1827
205,1069,198,1582
1248,1631,1067,1638
1393,641,742,657
631,324,480,563
1039,1118,947,1558
1045,218,25,1971
1064,509,371,1725
834,148,1961,1804
308,1375,971,51
498,1305,1881,1414
1391,1570,1779,1346
1252,1005,837,143
1102,313,1445,1359
1777,1333,1281,1822
1403,1184,553,1540
1489,1437,1047,235
1644,1057,378,1359
1846,1583,804,1772
1332,891,1388,1381
1842,991,1343,938
895,1605,776,1639
894,1099,910,316
1243,803,277,674
1733,39,1655,863
1193,1954,419,915
1566,1008,275,1496
828,1046,68,1400
132,316,410,642
1344,735,1102,1708
354,205,1877,1057
944,676,995,88
994,873,1306,1070
1979,1625,1715,186
10,1198,35,1802
1268,1382,462,1015
440,696,1127,1407
748,367,1971,1016
411,1696,1986,129
1872,1836,33,1353
365,1541,1751,481
457,1299,41,1998
295,1527,832,1404
827,1932,147,1543
1652,410,1828,439
1400,501,93,1568
1906,1078,1898,1720
1578,1948,451,523
1568,534,1096,547
1643,882,1715,1679
1524,1358,1896,1580
1223,1012,1971,1061
735,1468,1602,1168
1413,1208,1834,1082
1170,684,135,1780
480,744,1206,319
1686,1256,574,1230
454,234,1511,453
125,41,1024,1754
100,1548,821,1156
1690,683,531,546
688,114,678,907
719,1547,1050,1595
882,721,1077,1062
1859,1687,848,327
1159,2,800,1259
861,1300,1751,583
209,1174,1755,746
373,1493,1309,1427
1473,1255,1567,386
542,378,255,1291
435,134,878,190
1083,1855,1662,1473
962,652,911,956
1812,813,482,1128
1268,1327,1606,30
374,1166,1498,1789
1413,1684,1805,1278
1923,1159,1203,1890
719,796,1408,1827
506,960,460,1654
1694,36,687,999
583,1679,1352,326
1115,662,1508,498
1126,563,1394,1865
196,1788,37,1007
1096,1272,787,509
592,1472,595,1332
1020,1347,1286,1457
46,1054,253,143
646,227,1179,233
1361,625,1220,1524
607,1337,1863,1941
363,1664,885,1587
584,6,772,1738
742,1180,1621,615
1990,784,1226,860
1271,1417,1059,598
1871,1047,103,167
331,1947,1541,836
1277,784,1455,483
1742,814,947,768
1269,268,152,1414
1891,1683,1898,1539
1888,1470,810,1812
1520,98,699,1648
1662,506,32,1052
293,204,380,557
1307,1148,762,602
109,1174,1751,299
637,1686,1838,1981
865,699,736,1567
410,918,815,1349
116,1843,58,1271
1500,1087,855,423
6,937,1898,834
336,1159,433,1557
548,1774,168,1044
1274,800,516,1312
715,976,1091,1271
1254,402,1783,1050
1410,1004,1639,24
762,1189,1019,525
933,1639,1107,1816
890,134,628,187
12,834,351,1308
1853,1461,1281,972
781,1070,1477,1605
1779,1424,1033,889
751,1163,822,1895
1165,1384,1034,1357
1144,1678,563,1868
100,928,1435,259
1617,393,1576,714
1718,1831,146,839
522,697,1929,145
1639,1164,1094,162
1870,64,1259,1311
718,817,404,243
596,975,1040,988
606,620,811,146
987,166,1049,106
1335,1560,1204,418
84,1548,655,1689
1011,1681,96,1173
226,683,1384,1921
1827,1963,751,171
130,1431,1353,1918
672,294,1271,1677
1163,1812,1614,1616
803,1786,822,1275
1950,299,663,1837
1616,244,1793,996
1430,1966,1256,36
552,1751,650,1577
1280,823,1401,1532
447,472,1355,43
664,1222,1157,1448
929,588,496,1081
1025,1922,259,1006
231,101,1856,1982
1898,766,241,1523
1320,1303,1407,346
1625,1215,1617,1149
1981,841,406,123
1936,1557,908,831
1221,673,1277,971
1259,955,1854,606
1117,949,911,272
637,125,1060,530
742,1906,638,883
129,1168,808,1089
1199,834,1646,1542
1386,1648,1272,145
165,186,646,1682
1827,368,974,1958
1422,501,366,1538
1569,1480,1279,1559
1223,65,1490,1816
1558,113,395,354
830,1532,1236,728
1498,1122,1003,1037
1300,1743,1580,1173
293,28,1300,269
1894,1363,890,191
364,1927,521,948
545,601,487,1203
1988,735,1928,367
313,443,1766,1791
104,577,1611,1474
905,1425,232,489
818,368,1336,1154
326,329,621,1603
1551,481,742,1097
817,1487,1148,1304
408,1799,1753,1959
941,805,1083,1126
1457,123,274,1050
493,830,879,209
386,1383,700,1944
454,1409,957,1422
1427,819,1064,342
1578,1277,1691,1574
731,1166,1771,1619
1701,242,1311,382
1244,1261,649,1964
536,17,656,1909
455,1098,253,452
1554,786,544,506
1078,927,1351,1797
108,504,182,1421
540,515,15,691
900,1023,661,734
757,790,129,805
1504,162,1548,1449
1854,671,175,1793
1832,172,308,948
1955,1549,975,1575
1023,963,457,1514
141,1576,981,1701
1510,1614,254,4
584,617,29,1945
1614,211,1818,357
817,764,623,830
273,1071,1894,74
1224,1717,615,1585
186,382,1429,816
1242,50,1356,836
1632,1923,1273,1669
1125,1544,1007,419
1369,543,801,1181
365,1248,1646,230
1587,947,552,966
1677,628,466,1888
765,23,1864,401
975,1628,610,574
1987,944,904,1871
1100,752,216,757
1113,449,1680,785
1680,665,746,1742
125,58,18,611
1798,825,1897,369
188,1054,635,887
28,60,423,980
1208,637,1899,1318
1608,1670,1545,1669
1796,1614,1966,1516
812,1536,1848,767
1670,1456,1871,1223
601,1594,1725,643
1234,678,731,1895
1025,321,1903,1069
1696,299,1608,541
1677,262,386,1281
1919,1076,1753,1626
953,1935,185,340
373,1178,20,72
1602,377,738,1824
1818,1868,1302,33
876,508,842,1104
136,1720,1579,648
1855,1513,993,805
541,859,1667,1756
204,979,318,1693
1692,1292,1894,316
1216,1918,1464,345
1413,323,1363,1508
424,1650,1844,430
1439,458,1898,40
1920,269,480,1485
550,100,1755,156
1094,860,870,1858
1387,111,1551,379
1547,54,512,751
1784,1438,1031,84
533,1359,759,5
1469,1841,1239,1093
956,1315,608,634
964,1631,1164,1019
1407,1102,1715,1789
1405,524,1061,1974
970,689,860,1025
464,256,459,1947
669,1169,629,1010
1505,849,1747,1665
996,1336,1516,741
431,1165,795,1885
625,1554,1582,1600
869,955,1407,1459
1536,1427,1713,1598
866,668,1544,1542
1130,103,1307,1956
1182,713,1635,164
1172,1134,612,116
1050,155,212,656
677,1637,1703,1404
1744,1866,1337,1611
1979,1357,1567,1557
1050,1558,1876,849
1825,59,1425,1398
1205,924,868,256
259,255,1902,684
1340,1801,848,1748
692,1198,978,66
950,531,1478,311
1435,457,341,1317
93,569,749,637
195,1346,546,841
327,1908,674,704
1371,430,1681,300
1346,1415,1572,1609
1604,1465,377,1699
1951,1098,640,1212
397,32,695,1709
1445,637,1679,1515
1804,1428,1224,252
1835,1084,1751,70
1932,968,269,244
200,966,1445,1048
1990,1415,1965,1298
983,1871,670,1506
1034,1828,763,89
604,1403,667,541
1897,1777,1087,210
474,1801,1119,1227
724,1082,957,1895
689,992,638,945
1834,1677,448,355
1562,257,407,780
1575,1239,1931,1031
735,1444,990,2
1358,1837,517,486
758,1676,1616,824
1979,297,1389,118
1092,1257,1329,361
1692,1551,1129,1523
1322,1896,290,684
1198,1848,1929,475
665,122,163,1271
855,469,1746,1376
809,962,1052,865
1504,1938,1639,46
1584,1369,1983,804
817,532,1446,1384
420,1399,940,700
311,1760,1275,1042
1004,1851,1031,1574
403,733,920,392
1464,1989,813,1294
63,1898,125,146
319,648,381,1145
1415,1913,154,174
785,1506,538,508
1754,667,248,1157
286,650,1251,885
1464,582,1152,866
948,1114,105,841
1783,941,1690,1187
887,1145,374,699
1066,317,1606,1233
1253,29,586,1458
911,993,304,1539
822,1217,1503,1867
704,1794,1701,401
1363,1840,1766,1957
709,1935,1418,668
1139,1307,668,269
573,1978,889,1578
257,87,1336,1037
553,644,1225,1253
18,773,1125,817
842,1482,1479,275
258,1281,1926,1855
42,1809,946,896
1638,1577,1691,1780
544,184,1105,1697
1858,1456,39,345
1936,1883,1854,829
932,54,1442,1471
836,1009,1530,817
599,485,866,1549
1899,1116,851,1098
232,1124,1906,1019
200,861,1486,253
1681,1515,44,301
471,127,308,959
1650,1341,842,362
407,484,770,1187
1403,770,1156,933
1892,1610,992,653
500,820,812,1703
1522,181,1040,1852
394,376,1584,305
1113,1593,851,1189
970,1210,414,1552
1928,1358,327,1609
100,750,449,245
34,1130,1305,1995
362,1206,368,1114
1292,1776,1635,1732
1859,1735,1183,1585
1261,1063,1408,1390
1004,531,867,337
1368,238,399,956
1091,992,78,828
1721,153,1927,374
361,1604,208,492
347,1574,1019,855
1218,511,1854,161
505,691,1397,1726
1115,408,1332,441
1598,170,1908,874
561,1804,89,482
1106,630,1863,797
1978,63,1349,1269
446,1891,10,30
556,162,1846,1597
1069,1020,1357,158
1293,786,113,173
508,702,1899,1349
288,922,206,956
1201,684,895,992
457,1956,252,909
110,244,1779,922
574,997,1868,260
370,1335,1149,1846
1024,200,1138,706
1812,482,1792,760
385,1141,98,763
1405,811,606,583
1161,1516,580,423
1412,1323,1522,1658
1720,1779,1623,1453
1413,1282,1293,443
297,1172,1770,1802
324,1152,1942,702
1558,1002,381,726
1618,1596,1010,753
1548,1694,6,1323
1075,443,1732,1111
177,39,105,667
1988,1072,1323,835
1508,322,1294,1766
830,348,1911,920
521,729,968,1429
722,142,617,1984
691,1482,473,264
1964,1040,1906,717
675,1990,778,1375
1532,1286,38,1398
1220,1766,491,1325
1227,1472,5,1120
32,361,1893,453
975,1353,1563,738
